Block Height|Total Difficulty
1153125|9,480,066,573,521,325,218
1156250|9,534,488,122,871,020,941
1159375|9,589,875,952,691,039,959
1162500|9,645,358,887,057,458,765
1165625|9,701,067,235,415,801,229
1168750|9,757,633,785,453,690,950
1171875|9,814,684,389,933,399,453
1175000|9,872,284,089,563,239,698
1178125|9,930,088,343,313,581,397
1181250|9,988,810,962,008,546,067
1184375|10,049,500,971,936,754,591
1187500|10,110,184,691,325,140,313
1190625|10,170,503,572,688,522,863
1193750|10,230,524,165,944,390,950
1196875|10,290,978,351,535,047,646
1200000|10,353,239,658,216,955,739
1203125|10,410,777,642,759,211,098
1206250|10,470,229,628,717,802,507
1209375|10,531,803,055,287,947,183
1212500|10,595,270,510,375,686,688
1215625|10,661,171,080,131,999,364
1218750|10,726,176,652,970,796,781
1221875|10,792,952,509,725,770,871
1225000|10,861,456,237,104,937,058
1228125|10,929,339,848,646,876,724
1231250|10,998,989,268,888,484,876
1234375|11,065,827,469,903,997,548
1237500|11,136,037,327,043,748,010
1240625|11,206,178,543,355,369,449
1243750|11,277,092,955,764,257,013
1246875|11,348,470,837,475,581,953
1250000|11,421,512,738,040,995,618
1253125|11,497,112,718,308,414,179
1256250|11,570,420,721,914,199,929
1259375|11,645,047,775,637,234,011
1262500|11,718,030,352,417,612,063
1265625|11,792,514,389,674,564,532
1268750|11,867,810,225,905,820,705
1271875|11,944,361,502,906,698,618
1275000|12,022,850,416,019,180,377
1278125|12,102,396,182,242,832,785
1281250|12,182,595,693,004,458,274
1284375|12,263,196,288,643,840,189
1287500|12,343,397,764,774,642,366
1290625|12,422,740,858,508,685,525
1293750|12,499,287,115,576,794,724
1296875|12,577,188,822,101,255,152
1300000|12,657,716,576,138,119,956
1303125|12,742,909,722,267,661,037
1306250|12,827,668,625,751,421,929
1309375|12,910,034,607,934,880,822
1312500|12,994,314,310,045,923,423
1315625|13,079,861,161,678,472,807
1318750|13,163,915,907,093,861,525
1321875|13,245,287,392,584,720,340
1325000|13,327,820,646,022,210,342
1328125|13,411,663,258,476,826,759
1331250|13,497,759,840,596,672,340
1334375|13,583,228,424,915,752,123
