Block Height|Mined by
115625|0x623d2411c3bb3340784155F9a688b0085251aB5c 
118750|0xD0ee3F53eE0fCf3F9fbCcdd17BD1b6441DdC2074 
121875|Ethpool 
125000|Ethpool 
128125|Ethpool 
131250|Ethpool 
134375|0x790b8a3cE86E707ED0eD32bF89B3269692a23CC1 
137500|0x9746c7e1ef2bd21FF3997fa467593a89cb852BD0 
140625|0x0142b986f0761E770A94198e8FBA8E5D1D84483F 
143750|Ethpool 
146875|Nanopool 
150000|0x568979437Cc65Ef7Bb30dCE64860F41FfDe1f899 
153125|0x790b8a3cE86E707ED0eD32bF89B3269692a23CC1 
156250|EthereumPool 
159375|0x893FF53FE9b3DA680472E1948F2294F970D44678 
162500|0x790b8a3cE86E707ED0eD32bF89B3269692a23CC1 
165625|Ethpool 
168750|Nanopool 
171875|Suprnova 
175000|0xf927a40C8B7F6E07c5af7FA2155B4864a4112B13 
178125|Nanopool 
181250|0x790b8a3cE86E707ED0eD32bF89B3269692a23CC1 
184375|0xf927a40C8B7F6E07c5af7FA2155B4864a4112B13 
187500|Suprnova 
190625|Nanopool 
193750|Nanopool 
196875|0x790b8a3cE86E707ED0eD32bF89B3269692a23CC1 
200000|Suprnova 
203125|Nanopool 
206250|0x88D74a59454F6cF3B51ef6b9136AFb6b9D405A88 
209375|0x17B719A685fC6C0002798e7f8151D0E2E83B7497 
212500|0x272E4755856aF9f8136bBcb9c3A25a3d9eDD6eC7 
215625|0xD508D11045191ba3AA8e9De267e87bd836CCE165 
218750|0x3E8745BA322f5fd6cB50124Ec46688c7a69a7FaE 
221875|0x580992B51e3925e23280EfB93d3047C82f17E038 
225000|0xf927a40C8B7F6E07c5af7FA2155B4864a4112B13 
228125|Suprnova 
231250|Nanopool 
234375|Nanopool 
237500|0x7E6930B63D03e88F5928C5cd6ee3FCee4D714F7F 
240625|Suprnova 
243750|Suprnova 
246875|0x8E61bF5A2e46D15774172781Cf100ED0962cBb63 
250000|Nanopool 
253125|Co
256250|Suprnova 
259375|Nanopool 
262500|0x8d8dfbD04db0942d79BB1Bb038E8876bb67FF825 
265625|Co
268750|Nanopool 
271875|Suprnova 
275000|0xf927a40C8B7F6E07c5af7FA2155B4864a4112B13 
278125|0x580992B51e3925e23280EfB93d3047C82f17E038 
281250|0xf927a40C8B7F6E07c5af7FA2155B4864a4112B13 
284375|Ethpool 2 
287500|0x8950cfD22b20eEa0Cec121858bA91C2c23c12e16 
290625|Nanopool 
293750|Nanopool 
296875|Nanopool 
300000|Nanopool 
303125|Nanopool 
306250|Nanopool 
309375|Ethpool 2 
312500|Ethpool 2 
315625|0xf927a40C8B7F6E07c5af7FA2155B4864a4112B13 
318750|DwarfPool 
321875|Suprnova 
325000|Ethpool 2 
328125|0x580992B51e3925e23280EfB93d3047C82f17E038 
331250|Nanopool 
334375|0x95581Ea0c5B362933F3523138F54d51eaE817211 
337500|Nanopool 
340625|Suprnova 
343750|0x22A0FBF89ad1362D74f626436D8C4fC6dc4f0679 
346875|Nanopool 
350000|Nanopool 
353125|0x42d194b1759A7A154A05cF23bA0e9c912aBb8550 
356250|EthereumPool 
359375|Suprnova 
362500|Nanopool 
